,Sightline,lambda0,f,gamma,b,N,v_rad,v_resolution,n_step,fit_report
30,HD 170740,4232.548,0.3393,38000000.0,3.826736376518379,230078452861.0724,-0.6278555577518777,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 33
    # data points      = 25
    # variables        = 3
    chi-square         = 0.00139910
    reduced chi-square = 6.3595e-05
    Akaike info crit   = -238.770035
    Bayesian info crit = -235.113408
    R-squared          = 0.96714896
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.82673638 +/- 0.19307552 (5.05%) (init = 2.36)
    N:             2.3008e+11 +/- 1.0103e+10 (4.39%) (init = 7e+11)
    v_rad:        -0.62785556 +/- 0.13831321 (22.03%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5278"
31,HD 170740,4232.548,0.3393,38000000.0,4.176886234927924,244531133512.37115,0.2278745464112359,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 33
    # data points      = 25
    # variables        = 3
    chi-square         = 3.7721e-04
    reduced chi-square = 1.7146e-05
    Akaike info crit   = -271.539802
    Bayesian info crit = -267.883175
    R-squared          = 0.99044310
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             4.17688623 +/- 0.10725215 (2.57%) (init = 2.36)
    N:             2.4453e+11 +/- 5.4697e+09 (2.24%) (init = 7e+11)
    v_rad:         0.22787455 +/- 0.07684765 (33.72%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5291"
32,HD 170740,4232.548,0.3393,38000000.0,3.9208942794095267,251562953561.96985,-0.8524414420535364,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 33
    # data points      = 25
    # variables        = 3
    chi-square         = 5.6876e-04
    reduced chi-square = 2.5853e-05
    Akaike info crit   = -261.273290
    Bayesian info crit = -257.616662
    R-squared          = 0.98741079
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.92089428 +/- 0.11711687 (2.99%) (init = 2.36)
    N:             2.5156e+11 +/- 6.5488e+09 (2.60%) (init = 7e+11)
    v_rad:        -0.85244144 +/- 0.08400648 (9.85%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5243"
33,HD 170740,4232.548,0.3393,38000000.0,3.7858836856937867,243566477636.34424,0.07917796673690386,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 25
    # variables        = 3
    chi-square         = 3.2095e-04
    reduced chi-square = 1.4588e-05
    Akaike info crit   = -275.577870
    Bayesian info crit = -271.921243
    R-squared          = 0.99274857
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.78588369 +/- 0.08628856 (2.28%) (init = 2.36)
    N:             2.4357e+11 +/- 4.8357e+09 (1.99%) (init = 7e+11)
    v_rad:         0.07917797 +/- 0.06187945 (78.15%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5241"
34,HD 184915,4232.548,0.3393,38000000.0,3.1051093609980573,90245970242.79912,-1.757839754878786,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 45
    # data points      = 25
    # variables        = 3
    chi-square         = 7.8192e-04
    reduced chi-square = 3.5542e-05
    Akaike info crit   = -253.315960
    Bayesian info crit = -249.659332
    R-squared          = 0.91728124
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.10510936 +/- 0.26315951 (8.48%) (init = 2.36)
    N:             9.0246e+10 +/- 6.5826e+09 (7.29%) (init = 7e+11)
    v_rad:        -1.75783975 +/- 0.18652024 (10.61%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5538"
35,HD 184915,4232.548,0.3393,38000000.0,3.1942688573853264,98734157439.66922,-0.6895998548763241,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 45
    # data points      = 25
    # variables        = 3
    chi-square         = 1.4649e-04
    reduced chi-square = 6.6585e-06
    Akaike info crit   = -295.186359
    Bayesian info crit = -291.529731
    R-squared          = 0.98450134
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.19426886 +/- 0.10871435 (3.40%) (init = 2.36)
    N:             9.8734e+10 +/- 2.8951e+09 (2.93%) (init = 7e+11)
    v_rad:        -0.68959985 +/- 0.07711930 (11.18%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5523"
36,HD 184915,4232.548,0.3393,38000000.0,3.169517037551942,97550988972.97412,-0.8844241480343655,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 41
    # data points      = 25
    # variables        = 3
    chi-square         = 1.6053e-04
    reduced chi-square = 7.2970e-06
    Akaike info crit   = -292.896932
    Bayesian info crit = -289.240304
    R-squared          = 0.98274603
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.16951704 +/- 0.11386399 (3.59%) (init = 2.36)
    N:             9.7551e+10 +/- 3.0187e+09 (3.09%) (init = 7e+11)
    v_rad:        -0.88442415 +/- 0.08076199 (9.13%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5524"
37,HD 184915,4232.548,0.3393,38000000.0,3.115637674104562,91812252795.66837,-1.2930934630839261,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 49
    # data points      = 25
    # variables        = 3
    chi-square         = 1.4238e-04
    reduced chi-square = 6.4720e-06
    Akaike info crit   = -295.896398
    Bayesian info crit = -292.239771
    R-squared          = 0.98300498
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.11563767 +/- 0.11098058 (3.56%) (init = 2.36)
    N:             9.1812e+10 +/- 2.8151e+09 (3.07%) (init = 7e+11)
    v_rad:        -1.29309346 +/- 0.07867222 (6.08%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5535"
38,HD 184915,4232.548,0.3393,38000000.0,3.470225229667887,96054347717.04805,-2.048896317584651,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 45
    # data points      = 25
    # variables        = 3
    chi-square         = 2.3516e-04
    reduced chi-square = 1.0689e-05
    Akaike info crit   = -283.353000
    Bayesian info crit = -279.696373
    R-squared          = 0.97206783
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.47022523 +/- 0.15954933 (4.60%) (init = 2.36)
    N:             9.6054e+10 +/- 3.8087e+09 (3.97%) (init = 7e+11)
    v_rad:        -2.04889632 +/- 0.11317310 (5.52%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5550"
39,HD 184915,4232.548,0.3393,38000000.0,3.041772676937796,91777105892.70877,-1.4222408008325829,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 45
    # data points      = 25
    # variables        = 3
    chi-square         = 4.1556e-04
    reduced chi-square = 1.8889e-05
    Akaike info crit   = -269.119231
    Bayesian info crit = -265.462603
    R-squared          = 0.95454698
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.04177268 +/- 0.18319736 (6.02%) (init = 2.36)
    N:             9.1777e+10 +/- 4.7559e+09 (5.18%) (init = 7e+11)
    v_rad:        -1.42224080 +/- 0.12985376 (9.13%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5529"
40,HD 185418,4232.548,0.3393,38000000.0,4.562520028521748,216771098147.26028,1.8249203239215666,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 46
    # data points      = 25
    # variables        = 3
    chi-square         = 0.00228426
    reduced chi-square = 1.0383e-04
    Akaike info crit   = -226.514757
    Bayesian info crit = -222.858129
    R-squared          = 0.93170757
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             4.56252003 +/- 0.33621158 (7.37%) (init = 2.36)
    N:             2.1677e+11 +/- 1.3894e+10 (6.41%) (init = 7e+11)
    v_rad:         1.82492032 +/- 0.24029613 (13.17%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5385"
41,HD 185418,4232.548,0.3393,38000000.0,4.802618416394526,233281320327.23685,1.7990532143006863,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 43
    # data points      = 25
    # variables        = 3
    chi-square         = 0.00111475
    reduced chi-square = 5.0671e-05
    Akaike info crit   = -244.449984
    Bayesian info crit = -240.793356
    R-squared          = 0.96625928
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             4.80261842 +/- 0.23576437 (4.91%) (init = 2.36)
    N:             2.3328e+11 +/- 9.9686e+09 (4.27%) (init = 7e+11)
    v_rad:         1.79905321 +/- 0.16860023 (9.37%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5376"
42,HD 185418,4232.548,0.3393,38000000.0,4.310884815091142,211596827062.4258,1.9900164528817723,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 46
    # data points      = 25
    # variables        = 3
    chi-square         = 0.00312831
    reduced chi-square = 1.4220e-04
    Akaike info crit   = -218.653458
    Bayesian info crit = -214.996830
    R-squared          = 0.91278694
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             4.31088482 +/- 0.37100165 (8.61%) (init = 2.36)
    N:             2.1160e+11 +/- 1.5834e+10 (7.48%) (init = 7e+11)
    v_rad:         1.99001645 +/- 0.26518872 (13.33%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5372"
43,HD 185418,4232.548,0.3393,38000000.0,4.740003380947238,236280355524.34442,2.646496459468995,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 42
    # data points      = 25
    # variables        = 3
    chi-square         = 0.00115987
    reduced chi-square = 5.2721e-05
    Akaike info crit   = -243.458052
    Bayesian info crit = -239.801424
    R-squared          = 0.96573425
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             4.74000338 +/- 0.23310287 (4.92%) (init = 2.36)
    N:             2.3628e+11 +/- 1.0116e+10 (4.28%) (init = 7e+11)
    v_rad:         2.64649646 +/- 0.16674444 (6.30%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5366"
44,HD 185859,4232.548,0.3393,38000000.0,3.7312114165920103,275996959767.68713,-1.293425541937397,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 25
    # variables        = 3
    chi-square         = 2.4214e-04
    reduced chi-square = 1.1006e-05
    Akaike info crit   = -282.621658
    Bayesian info crit = -278.965030
    R-squared          = 0.99564192
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.73121142 +/- 0.06527111 (1.75%) (init = 2.36)
    N:             2.7600e+11 +/- 4.2148e+09 (1.53%) (init = 7e+11)
    v_rad:        -1.29342554 +/- 0.04692400 (3.63%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5158"
45,HD 185859,4232.548,0.3393,38000000.0,3.743747285048138,274280346391.1223,-1.2982101032475533,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 25
    # data points      = 25
    # variables        = 3
    chi-square         = 6.4047e-04
    reduced chi-square = 2.9112e-05
    Akaike info crit   = -258.304655
    Bayesian info crit = -254.648027
    R-squared          = 0.98876329
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.74374729 +/- 0.10728195 (2.87%) (init = 2.36)
    N:             2.7428e+11 +/- 6.8606e+09 (2.50%) (init = 7e+11)
    v_rad:        -1.29821010 +/- 0.07711334 (5.94%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5164"
46,HD 185859,4232.548,0.3393,38000000.0,3.787833601589676,276101102247.1075,-1.3254612448177807,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 25
    # variables        = 3
    chi-square         = 2.6046e-04
    reduced chi-square = 1.1839e-05
    Akaike info crit   = -280.798081
    Bayesian info crit = -277.141454
    R-squared          = 0.99525447
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.78783360 +/- 0.06913057 (1.83%) (init = 2.36)
    N:             2.7610e+11 +/- 4.3988e+09 (1.59%) (init = 7e+11)
    v_rad:        -1.32546124 +/- 0.04969027 (3.75%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5167"
47,HD 185859,4232.548,0.3393,38000000.0,3.7672278160579427,272842998453.843,-1.775165831501954,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 25
    # variables        = 3
    chi-square         = 4.1547e-04
    reduced chi-square = 1.8885e-05
    Akaike info crit   = -269.124385
    Bayesian info crit = -265.467758
    R-squared          = 0.99243371
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.76722782 +/- 0.08760760 (2.33%) (init = 2.36)
    N:             2.7284e+11 +/- 5.5377e+09 (2.03%) (init = 7e+11)
    v_rad:        -1.77516583 +/- 0.06296071 (3.55%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5171"
48,HD 185859,4232.548,0.3393,38000000.0,3.8077955944407735,273777139173.5888,-1.606532016161024,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 25
    # variables        = 3
    chi-square         = 5.4807e-04
    reduced chi-square = 2.4912e-05
    Akaike info crit   = -262.199580
    Bayesian info crit = -258.542953
    R-squared          = 0.99011517
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.80779559 +/- 0.10183581 (2.67%) (init = 2.36)
    N:             2.7378e+11 +/- 6.3906e+09 (2.33%) (init = 7e+11)
    v_rad:        -1.60653202 +/- 0.07318200 (4.56%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5176"
49,HD 185859,4232.548,0.3393,38000000.0,3.7597138689303353,278994896052.4235,-0.942261460987175,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 25
    # data points      = 25
    # variables        = 3
    chi-square         = 1.7822e-04
    reduced chi-square = 8.1010e-06
    Akaike info crit   = -290.283785
    Bayesian info crit = -286.627157
    R-squared          = 0.99684299
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.75971387 +/- 0.05603394 (1.49%) (init = 2.36)
    N:             2.7899e+11 +/- 3.6305e+09 (1.30%) (init = 7e+11)
    v_rad:        -0.94226146 +/- 0.04028831 (4.28%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5156"
50,HD 203532,4232.548,0.3393,38000000.0,3.212465101322434,57233591126.60926,-2.0063478737957525,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 37
    # data points      = 25
    # variables        = 3
    chi-square         = 2.1320e-04
    reduced chi-square = 9.6910e-06
    Akaike info crit   = -285.803572
    Bayesian info crit = -282.146945
    R-squared          = 0.94238097
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.21246510 +/- 0.22558126 (7.02%) (init = 2.36)
    N:             5.7234e+10 +/- 3.4533e+09 (6.03%) (init = 7e+11)
    v_rad:        -2.00634787 +/- 0.15943686 (7.95%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5630"
51,HD 203532,4232.548,0.3393,38000000.0,2.871208661389678,51999655509.37734,-2.195033545814811,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 37
    # data points      = 25
    # variables        = 3
    chi-square         = 7.7578e-04
    reduced chi-square = 3.5263e-05
    Akaike info crit   = -253.513020
    Bayesian info crit = -249.856393
    R-squared          = 0.82021233
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             2.87120866 +/- 0.40168031 (13.99%) (init = 2.36)
    N:             5.2000e+10 +/- 6.2338e+09 (11.99%) (init = 7e+11)
    v_rad:        -2.19503355 +/- 0.28353333 (12.92%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5627"
52,HD 203532,4232.548,0.3393,38000000.0,2.8353751258055926,53837544173.30224,-1.8182000694991653,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 37
    # data points      = 25
    # variables        = 3
    chi-square         = 4.5148e-04
    reduced chi-square = 2.0522e-05
    Akaike info crit   = -267.046571
    Bayesian info crit = -263.389944
    R-squared          = 0.89187142
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             2.83537513 +/- 0.29079505 (10.26%) (init = 2.36)
    N:             5.3838e+10 +/- 4.7307e+09 (8.79%) (init = 7e+11)
    v_rad:        -1.81820007 +/- 0.20527759 (11.29%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5620"
53,HD 203532,4232.548,0.3393,38000000.0,2.9455214403689434,53292957208.58004,-2.5354182963239373,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 51
    # data points      = 25
    # variables        = 3
    chi-square         = 4.5485e-04
    reduced chi-square = 2.0675e-05
    Akaike info crit   = -266.860624
    Bayesian info crit = -263.203996
    R-squared          = 0.88408370
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             2.94552144 +/- 0.31156977 (10.58%) (init = 2.36)
    N:             5.3293e+10 +/- 4.8339e+09 (9.07%) (init = 7e+11)
    v_rad:        -2.53541830 +/- 0.22000003 (8.68%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5628"
